lemma;sentiment
сзади;0
счеты;0
отказаться от;-1
заброшенный;-1
оставление;-1
утихать;0
снижение;0
авва;1
аббат;0
сокращать;0
сокращение;0
брюшная полость;0
абдоминальный;0
отведение;-1
отклоняющийся;-1
аберрация;-1
латентность;0
питать отвращение;-1
отвратительный;-1
соблюдать;0
способность;1
униженный;-1
абляция;0
пылать;0
ненормальный;-1
на борту;0
местопребывание;0
упразднять;-1
отмена;-1
отвратительный;-1
мерзость;-1
аборигенный;0
выкинуть;-1
аборт;-1
абортивный;-1
изобиловать;0
NO TRANSLATION;1
истирание;-1
за границу;0
упразднять;-1
крутой;0
резко;0
абсцесс;-1
отсутствие;-1
нет на месте;-1
отсутствующий;-1
абсентеизм;-1
абсент;0
абсолютный;1
отпущение грехов;1
поглощенный;1
абсорбирующий;0
поглощающий;0
поглощение;0
воздерживаться;0
воздержанность;0
абстиненция;0
Абстрактные;0
абстракция;0
абсурд;-1
нелепость;-1
изобилие;0
обильный;1
злоупотребление;-1
устой;0
бездонный;-1
бездна;-1
академический;1
академия;1
присоединяться;0
ускорять;0
ускорение;0
акцент;0
акцентировать;0
принимать;0
приемлемо;1
принятие;1
доступ;0
доступной;1
присоединение;0
аксессуар;0
авария;-1
случайный;-1
случайно;0
акколада;1
вмещать;0
жилье;1
сопровождение;1
сопровождать;0
сопровождая;0
соучастник;0
выполнять;1
осуществляется;1
достижение;1
согласие;1
соответствие;0
аккордеон;0
Счет;0
подотчетность;1
подотчетный;1
бухгалтер;0
учет;0
Счета;0
аккредитованный;1
срастание;0
доставаться;0
NO TRANSLATION;1
скапливаться;0
накопление;0
точность;0
точный;1
проклятый;-1
обвинение;-1
винительный;-1
обвиняемый;-1
обвинитель;-1
обвинение;-1
привыкший;0
туз;1
уксусный;0
боль;-1
достигать;1
достижение;1
болящий;-1
кислота;-1
кислотность;0
признавать;0
признанный;0
подтверждение;1
кульминация;0
акустическое;0
акустика;0
знакомить;0
знакомство;0
знакомый;0
уступчивость;0
приобретать;1
приобретение;1
получение;0
приобретения;0
площадь;0
акра;0
акробат;1
акт;0
действующий;0
действие;1
действенные;-1
активный;0
Мероприятия;0
актер;0
фактический;1
действительность;0
актуарий;0
острота;1
сообразительность;1
иглоукалывание;0
остро;0
изречение;0
непреклонный;0
адаптироваться;1
адаптируются;1
Добавить;0
добавленной;0
добавление;0
сумматор;-1
зависимость;-1
прибавление;0
дополнительный;0
присадка;0
адрес;0
адресат;0
адреса;1
искусный;1
NO TRANSLATION;1
адекватный;0
придерживаться;0
соблюдение;0
приверженец;0
придерживаясь;0
адгезия;0
клей;0
прощайте;0
жировой;-1
смежность;0
примыкающий;0
имя прилагательное;0
прилегающий;0
закрывать;0
отложение;0
выносить приговор;-1
судебное решение;0
адъюнкт;1
регулировать;0
регулировка;0
адъювант;0
управлять;0
администрация;0
административный;0
замечательный;1
адмирал;1
адмиралтейство;0
восхищение;1
восхищаться;1
обожатель;1
допустимость;0
допустимый;1
вход;0
признавать;0
впуск;0
признал;0
допускающий;0
примесь;0
замечание;-1
суматоха;0
саман;0
подростковый возраст;0
подросток;0
принять;0
принятие;0
обожаемый;1
обожание;1
обожать;1
украшать;0
украшение;0
дрейфовать;-1
для взрослых;0
фальсифицированный;-1
прелюбодеяние;-1
продвижение;1
передовой;1
продвижение;1
опережения;0
преимущество;1
выгодный;1
приход;1
приключение;1
авантюрист;0
предприимчивый;1
состязательный;-1
неблагоприятный;-1
напасти;-1
рекламировать;0
Реклама;0
совет;0
рекомендуемый;1
консультировать;1
