,phrase,line,"line, lemmas",RuSentiLex,EmoLex,LinisCrowd,ChenSkiena,ProductSentiRus,SentiRusColl
0,,"Инфекционисты оценили данные о резкой смене первых симптомов COVID
",инфекционист оценивать данный о резкий смена первый симптом,0,-1,0,1,-1,0
1,,"Первый российский губернатор предупредил об угрозе нового локдауна
",первый российский губернатор предупреждать об угроза новый локдаун,-1,-1,-1,0,-1,0
2,,"Если оперативными мерами не удастся сбить заболеваемость COVID-19, в Псковской области может быть вновь введен локдаун. Пока в регионе объявили обязательную самоизоляцию для пожилых людей и перевели школы на удаленный режим""
",если оперативный мера не удаваться сбивать заболеваемость в псковский область мочь быть вновь вводить локдаун пока в регион объявлять обязательный самоизоляция для пожилой человек и переводить школа на удаленный режим,1,0,-1,1,-1,0
3,,"Власти Самарской области определили места, куда будут пускать по QR-коду""
",власть самарский область определять место куда быть пускать по код,0,1,0,0,-1,0
4,,"В ТЦ «Авиапарк» ответили на угрозу закрытия на 90 суток
",в тц авиапарк отвечать на угроза закрытие на сутки,-1,0,-1,-1,-1,0
5,,"Попова заявила о росте заболеваемости COVID-19 в 56 регионах России
",попов заявлять о рост заболеваемость в регион россия,-1,0,-1,0,0,0
6,,"Песков заявил о нарастающей волне заболеваемости коронавирусом
",песков заявлять о нарастать волна заболеваемость коронавирус,-1,-1,-1,0,0,0
7,,"ТЦ «Авиапарк» в Москве пригрозили закрыть за нарушения масочного режима
",тц авиапарк в москва пригрозить закрывать за нарушение масочный режим,-1,-1,-1,-1,-1,0
8,,"Число полностью привитых россиян превысило 40 млн
",число полностью прививать россиянин превышать,-1,1,0,1,-1,0
9,,"Кремль рассказал, что жизнь привитых от COVID будет «более удобной»""
",кремль рассказывать что жизнь прививать от быть более удобный,1,1,0,1,-1,0
10,,"Песков сообщил о состоянии адъютанта с COVID, работавшего с Путиным""
",песков сообщать о состояние адъютант с работать с путин,0,0,0,1,0,0
11,,"В Петербурге выявили рекордное с 31 января число новых случаев COVID-19
",в петербург выявлять рекордный с январь число новый случай,0,0,0,0,-1,0
12,,"В России выявили максимум случаев заражения COVID-19 с конца июля
",в россия выявлять максимум случай заражение с конец июль,-1,-1,0,-1,-1,0
13,,"Смертность от COVID в России обновила рекорд третий день подряд
",смертность от в россия обновлять рекорд третий день подряд,-1,0,-1,1,-1,0
