phrase;line;line, lemmas;RuSentiLex;EmoLex;LinisCrowd;ChenSkiena;ProductSentiRus;SentiRusColl
;"Вуйнович рассказала, когда закончится пандемия коронавируса""
";вуйнович рассказывать когда заканчиваться пандемия коронавирус;-1;-1;0;0;-1;0
;"Военных медиков направят в Тульскую область для борьбы с COVID-19
";военный медик направлять в тульский область для борьба с;0;-1;0;-1;0;0
;"Минздраву выделят более 10 млрд рублей на лекарства для лечения COVID-19
";минздрав выделять более млрд рубль на лекарство для лечение;-1;0;0;1;-1;0
;"Ленинградская область поможет Башкирии открыть мультицентр
";ленинградский область помогать башкирия открывать мультицентр;1;1;0;1;-1;0
;"Без справки вход воспрещен: с какими болезнями не пускают в бассейн
";без справка вход воспрещать с какой болезнь не пускать в бассейн;-1;-1;-1;-1;-1;0
;"Как заставить работать управляющую компанию: советы юриста
";как заставлять работать управляющий компания совет юрист;0;0;0;1;-1;0
;"Автомобилистов призвали быть внимательными на дорогах Москвы из-за тумана
";автомобилист призывать быть внимательный на дорога москва из-за туман;1;1;1;-1;-1;0
;"В МГД рассказали, сколько детей в тяжелом состоянии лежат в больнице""
";в рассказывать сколько ребенок в тяжелый состояние лежать в больница;-1;1;-1;-1;-1;0
;"В """"Единой России"""" предложили выделить допсредства на молодежную занятость""
";в единый россия предлагать выделять допсредство на молодежный занятость;0;1;0;1;-1;0
;"В России 75 регионов ввели QR-коды для посещения различных учреждений
";в россия регион вводить код для посещение различный учреждение;0;1;0;0;-1;0
;"Москвичам пообещали минусовую температуру грядущей ночью
";москвич пообещать минусовый температура грядущий ночь;0;0;0;-1;-1;0
;"В Москве и области продлили желтый уровень погодной опасности
";в москва и область продлять желтый уровень погодный опасность;-1;0;0;-1;-1;0
;"В Волгоградской области подготовят предложения о продлении антиковидных мер
";в волгоградский область подготовить предложение о продление антиковидный мера;0;1;0;1;0;0
;"ГИБДД усилит контроль на дорогах Костромской области
";гибдд усиливать контроль на дорога костромской область;0;0;0;-1;0;0
;"Власти Липецкой области объяснили задержку результатов ПЦР-тестов в регионе
";власть липецкий область объяснять задержка результат тест в регион;-1;1;0;-1;0;0
;"В Сочи QR-код у посетителей проверяют 99 процентов ресторанов и кафе
";в сочи код у посетитель проверять процент ресторан и кафе;0;1;0;0;0;0
;"В Курской области план вакцинации от COVID-19 выполнили на 70%
";в курский область план вакцинация от выполнять на;0;1;0;1;-1;0
;"Во Владимирской области вакцинацию прошли более 75% чиновников
";во владимирский область вакцинация проходить более чиновник;0;0;0;0;-1;0
;"В Дагестане ускорились темпы вакцинации после введения антиковидных мер
";в дагестан ускоряться темп вакцинация после введение антиковидный мера;0;0;0;0;0;0
;"В Удмуртии сократилось количество госпитализаций заболевших COVID-19
";в удмуртия сокращаться количество госпитализация заболевать;-1;-1;-1;-1;0;0
;"В Минтрансе заявили о критическом состоянии общественного транспорта
";в минтранс заявлять о критический состояние общественный транспорт;-1;0;-1;0;-1;0
;"В Москве нашли нарушения антиковидных мер на 118 объектах
";в москва находить нарушение антиковидный мера на объект;-1;-1;-1;-1;-1;0
;"Беглов назвал ситуацию с коронавирусом в Петербурге непростой
";беглов называть ситуация с коронавирус в петербург непростой;-1;0;-1;0;1;0
;"Губернатор Севастополя прокомментировал ситуацию с COVID-19 в регионе
";губернатор севастополь прокомментировать ситуация с в регион;0;0;0;0;0;0
;"Минздрав предложил запретить частным клиникам выдавать медсправки на оружие
";минздрав предлагать запрещать частный клиника выдавать медсправка на оружие;-1;-1;-1;-1;-1;0
;"В Нижегородской области отремонтировали более десяти важных дорог
";в нижегородский область отремонтировать много десять важный дорога;1;1;-1;1;-1;0
;"Ни стыда, ни совести!"""" Нижегородцы пристыдили министра культуры за тату""
";ни стыд ни совесть нижегородец пристыжать министр культура за тату;0;1;0;0;0;0
;"В Чувашии разработают QR-код для людей с большим числом антител к COVID-19
";в чувашия разрабатывать код для человек с большой число антитело к;0;1;0;0;-1;0
;"Мать, бросившая на железной дороге авто с ребенком, признала вину""
";мать бросать на железный дорога авто с ребенок признавать вина;1;1;-1;-1;-1;0
;"Иностранцы с отрицательным ПЦР-тестом смогут посещать театры и музеи
";иностранец с отрицательный тесто смочь посещать театр и музей;-1;-1;0;-1;-1;0
;"Попова призвала не ждать немедленного эффекта от мер против COVID-19
";попов призывать не ждать немедленный эффект от мера против;0;-1;0;1;-1;0
;"Мурашко заявил о решении проблем с доставкой вакцин от COVID-19
";мурашко заявлять о решение проблема с доставка вакцина от;-1;0;-1;0;0;0
;"Мишустин призвал россиян минимизировать контакты в нерабочие дни
";мишустин призывать россиянин минимизировать контакт в нерабочий день;-1;0;-1;0;-1;0
;"Попова оценила ситуацию с тестированием на коронавирус
";попов оценивать ситуация с тестирование на коронавирус;1;0;0;1;-1;0
;"Мурашко сообщил об увеличении объемов вакцинации
";мурашко сообщать об увеличение объем вакцинация;0;0;0;1;-1;0
;"Мурашко рассказал, где нагрузка на здравоохранение минимальна""
";мурашко рассказывать где нагрузка на здравоохранение минимальный;-1;-1;0;-1;-1;0
;"Мишустин поручил главам регионов следить за соблюдением мер по COVID-19
";мишустин поручать глава регион следить за соблюдение мера по;0;0;0;1;-1;0
;"Глава Кузбасса призвал Лебедева извиниться за картинку с горящим кинозалом
";глава кузбасс призывать лебедев извиняться за картинка с гореть кинозал;0;0;1;-1;-1;0
;"Мурашко: первым компонентом вакцины привито более 58 миллионов россиян
";мурашко первый компонент вакцина прививать более миллион россиянин;0;1;-1;1;0;0
;"Ярославские власти помогут теплоснабжающим организациям закупить мазут
";ярославский власть помогать теплоснабжающий организация закупать мазут;1;1;0;1;-1;0
;"Попова призвала немедленно обращаться к врачу при первых симптомах COVID-19
";попов призывать немедленно обращаться к врач при первый симптом;0;0;0;1;-1;0
;"В России почти 1,4 миллиона больных COVID-19 находятся под наблюдением""
";в россия почти миллион больной находиться под наблюдение;-1;-1;0;0;-1;0
;"Попова рассказала о росте заболеваемости COVID-19 в регионах
";попов рассказывать о рост заболеваемость в регион;-1;0;-1;0;0;0
;"Случаи заражения штаммами лямбда и мю единичны, заявила Попова""
";случай заражение штамм лямбда и мю единичный заявлять попов;-1;-1;0;-1;-1;0
;"Мурашко назвал регионы, где требуется ускорить вакцинацию""
";мурашко называть регион где требоваться ускорять вакцинация;0;0;0;0;-1;0
;"Попова заявила о снижении темпов заболеваемости COVID-19 среди детей
";попов заявлять о снижение темп заболеваемость среди ребенок;-1;0;-1;-1;0;0
;"Мурашко назвал причину роста числа госпитализаций больных COVID-19
";мурашко называть причина рост число госпитализация больной;-1;1;0;0;-1;0
;"Мурашко отметил недостаточный уровень вакцинации от COVID-19 в регионах
";мурашко отмечать недостаточный уровень вакцинация от в регион;-1;1;-1;0;-1;0
;"Мишустин подчеркнул важность бесперебойной вакцинации
";мишустин подчеркивать важность бесперебойный вакцинация;1;1;0;0;0;0
;"Мишустин назвал ситуацию с коронавирусом в России сложной
";мишустин называть ситуация с коронавирус в россия сложный;-1;0;0;0;1;0
;"Мишустин призвал регионы соблюдать рекомендации санитарных врачей
";мишустин призывать регион соблюдать рекомендация санитарный врач;1;1;0;1;0;0
;"Мишустин отметил необходимость снизить темпы заболеваемости COVID-19
";мишустин отмечать необходимость снижать темп заболеваемость;-1;-1;-1;0;-1;0
;"Профсоюзы не получали жалоб о принуждении к работе в нерабочие дни
";профсоюз не получать жалоба о принуждение к работа в нерабочий день;-1;-1;-1;-1;-1;0
;"Новгородская область первой продлит нерабочие дни
";новгородский область первый продлять нерабочий день;-1;0;-1;1;-1;0
;"Путин попросил минимизировать риски заболеваемости COVID-19 среди пожилых
";путин попросить минимизировать риск заболеваемость среди пожилой;-1;-1;-1;-1;-1;0
;"В Челябинске опровергли информацию о массовом увольнении водителей скорой
";в челябинск опровергать информация о массовый увольнение водитель скорый;-1;-1;0;-1;-1;0
;"Прощание с диктором Игорем Кирилловым пройдет 2 ноября
";прощание с диктор игорь кириллов пройти ноябрь;0;0;0;1;-1;0
;"Путин оценил ситуацию с COVID-19 в России
";путин оценивать ситуация с в россия;1;0;0;1;-1;0
;"Шойгу доложил о вакцинации 95% российских военнослужащих
";шойгу докладывать о вакцинация российский военнослужащий;0;0;0;0;0;0
;"В Северной Осетии призвали жестче реагировать на нарушения антиковидных мер
";в северный осетия призывать жестко реагировать на нарушение антиковидный мера;-1;-1;-1;0;-1;0
;"Путин заявил о скором появлении российских лекарств от COVID-19
";путин заявлять о скорый появление российский лекарство от;0;0;0;1;-1;0
;"Свердловчанин подал в суд на губернатора из-за QR-кодов
";свердловчанин подавать в суд на губернатор из-за код;0;0;0;1;0;0
;"Открыта горячая линия по жалобам на количество контрольных работ в школах
";открытый горячий линия по жалоба на количество контрольный работа в школа;-1;0;-1;-1;-1;0
;"В Рязанской области начал работу единый центр вакцинации
";в рязанский область начинать работа единый центр вакцинация;0;1;0;1;-1;0
;"Автоэксперты рассказали об ответственности за опасное вождение
";автоэксперт рассказывать об ответственность за опасный вождение;0;-1;0;-1;0;0
;"Попова отметила увеличение числа людей в масках
";попов отмечать увеличение число человек в маска;0;1;0;1;-1;0
;"Попова назвала процент повторно переболевших COVID-19
";попов называть процент повторно переболеть;-1;0;0;0;-1;0
;"Попова ответила на вопрос о новых ограничениях из-за COVID-19
";попов отвечать на вопрос о новый ограничение из-за;-1;-1;-1;-1;-1;0
;"Россия готовит запрос в ВОЗ о частоте ревакцинации от COVID-19
";россия готовить запрос в воз о частота ревакцинация от;0;1;1;1;0;0
;"Попова заявила о сезонности коронавируса
";попов заявлять о сезонность коронавирус;0;0;0;0;0;0
;"Попова назвала необходимый уровень коллективного иммунитета к COVID-19
";попов называть необходимый уровень коллективный иммунитет к;0;1;0;0;1;0
;"Попова заявила об эффективности вакцин против мутаций коронавируса
";попов заявлять об эффективность вакцина против мутация коронавирус;0;1;-1;1;0;0
;"Ушли """"в спячку"""". В Казани отключили фонтаны""
";уходить в спячка в казань отключать фонтан;0;0;0;0;-1;0
;"Пресс-секретарь Мишустина рассказал об уровне вакцинации в правительстве
";пресс-секретарь мишустина рассказывать об уровень вакцинация в правительство;0;0;0;0;0;0
;"В Ленинградской области не пустят в музеи привитых иностранными вакцинами
";в ленинградский область не пускать в музей прививать иностранный вакцина;0;1;-1;0;-1;0
;"Инфекционист рассказал о влиянии коронавируса на репродуктивную систему
";инфекционист рассказывать о влияние коронавирус на репродуктивный система;0;1;1;0;0;0
;"Минздрав: связи между числом раковых больных и прививками от COVID-19 нет
";минздрав связь между число раковый больной и прививка от нет;-1;-1;0;0;-1;0
;"Одному из старейших предприятий Москвы – ГБУ """"Гормост"""" – исполнилось 86 лет""
";один из старый предприятие москва гбу гормост исполняться год;-1;0;-1;-1;-1;0
;"Глава Липецкой области прошел ревакцинацию от COVID-19
";глава липецкий область проходить ревакцинация от;0;0;0;1;-1;0
;"Победители фотоконкурса участников переписи в Татарстане получат iPhone 13
";победитель фотоконкурс участник перепись в татарстан получать;1;1;1;1;-1;0
;"Жителям Московского региона рассказали о погоде на праздники
";житель московский регион рассказывать о погода на праздник;1;1;0;1;0;0
;"Калужские медики получили десять новых автомобилей
";калужский медик получать десять новый автомобиль;0;0;0;1;-1;0
;"Минцифры разработало критерии включения сайтов в список социально значимых
";минцифра разрабатывать критерий включение сайт в список социально значимый;1;0;0;1;-1;0
;"Вакцины защищают от тяжелого течения болезни, заявила Попова""
";вакцина защищать от тяжелый течение болезнь заявлять попов;-1;1;-1;-1;-1;0
;"В КЧР создано 2,5 тысячи автоматизированных рабочих мест для медперсонала""
";в создавать тысяча автоматизированный рабочий место для медперсонал;0;0;0;0;-1;0
;"На Кубани зафиксировали антирекорд по приросту заболевших COVID-19 за сутки
";на кубань зафиксировать антирекорд по прирост заболевать за сутки;-1;0;0;1;0;0
;"В Подмосковье на новую транспортную льготу направят 3 миллиарда рублей
";в подмосковье на новый транспортный льгота направлять миллиард рубль;1;0;0;1;0;0
;"Минпросвещения: """"Профессионалитет"""" восполнит дефицит кадров в строительстве""
";минпросвещение профессионалитет восполнять дефицит кадры в строительство;-1;-1;-1;-1;-1;0
;"Татуировки нижегородского министра культуры вызвали споры в Сети
";татуировка нижегородский министр культура вызывать спор в сеть;0;-1;0;-1;-1;0
;"На Алтае введут систему QR-кодов
";на алтай вводить система код;0;0;0;0;0;0
;"Свалку ТКО на Таймыре рекультивируют за счет штрафа НТЭК
";свалка тко на таймыр рекультивировать за счет штраф нтэк;-1;-1;0;-1;0;0
;"В Мосгордуме предложили отменить скидки при оплате штрафов ПДД
";в мосгордума предлагать отменять скидка при оплата штраф пдд;-1;-1;0;0;-1;0
;"В Минпросвещения подвели итоги сбора предложений педагогов
";в минпросвещение подводить итог сбор предложение педагог;-1;0;0;-1;-1;0
;"В Роспотребнадзоре рассказали о десяти вариантах дельта-штамма в России
";в роспотребнадзор рассказывать о десять вариант дельта штамм в россия;0;1;0;0;0;0
;"Инфекционист допустил появление новых штаммов после нерабочих дней
";инфекционист допускать появление новый штамм после нерабочий день;-1;0;-1;1;-1;0
;"Роскомнадзор удалил 85 тысяч материалов с пропагандой наркотиков
";роскомнадзор удалять тысяча материал с пропаганда наркотик;-1;1;-1;-1;-1;0
;"В России зафиксировали случаи заражения новыми вариантами COVID-19
";в россия зафиксировать случай заражение новый вариант;-1;0;0;-1;0;0
;"Ленобласть выделит почти 170 миллионов рублей на площадки ТКО
";ленобласть выделять почти миллион рубль на площадка тко;0;0;0;1;-1;0
;"Собянин поблагодарил волонтеров, помогающих москвичам в пандемию""
";собянин поблагодарить волонтер помогать москвич в пандемия;0;0;0;1;-1;0
;"В России предложили создать комиссию по языкам малочисленных народов
";в россия предлагать создавать комиссия по язык малочисленный народ;0;0;0;1;-1;0
;"Ситуация с COVID-19 в Москве остается непростой, заявил Собянин""
";ситуация с в москва оставаться непростой заявлять собянин;-1;0;-1;0;1;0
;"В Кремле оценили ситуацию с взаимным признанием COVID-сертификатов с ЕС
";в кремль оценивать ситуация с взаимный признание сертификат с ес;1;-1;1;1;-1;0
;"В Кремле назвали слова Мурашко о """"Спутнике Лайт"""" вырванными из контекста""
";в кремль называть слово мурашко о спутник лайт вырывать из контекст;0;1;0;0;0;0
;"В Кремле назвали работающих в """"красных зонах"""" врачей героями""
";в кремль называть работать в красный зона врач герой;1;1;0;1;-1;0
;"В Кремле заявили об ответственности глав регионов в условиях пандемии
";в кремль заявлять об ответственность глава регион в условие пандемия;0;-1;0;-1;0;0
;"Москвичам рассказали о погоде на ноябрьские праздники
";москвич рассказывать о погода на ноябрьский праздник;1;1;0;1;0;0
;"В Москве за сутки госпитализировали 1359 человек с COVID-19
";в москва за сутки госпитализировать человек с;0;1;0;0;0;0
;"Инфекционист допустил ухудшение эпидемиологической ситуации в Москве
";инфекционист допускать ухудшение эпидемиологический ситуация в москва;-1;-1;-1;-1;0;0
;"Эпидемиолог допустил появление нового варианта COVID-19
";эпидемиолог допускать появление новый вариант;0;1;0;1;0;0
;"Назван регион с наименьшим приростом по коронавирусу
";называть регион с маленький прирост по коронавирус;0;-1;1;1;-1;0
;"В Москве за сутки выявили 7103 новых случаев COVID-19
";в москва за сутки выявлять новый случай;0;0;0;0;0;0
;"В России за сутки от COVID-19 умерли 1155 человек
";в россия за сутки от умирать человек;0;1;-1;-1;-1;0
;"В России выявили 40 402 новых случая заражения коронавирусом
";в россия выявлять новый случай заражение коронавирус;-1;-1;0;-1;0;0
;"В России за сутки 23 187 человек выздоровели от COVID-19
";в россия за сутки человек выздоравливать от;1;1;1;0;0;0
;"В России в сентябре сократился реальный размер пенсии
";в россия в сентябрь сокращаться реальный размер пенсия;1;-1;0;0;-1;0
;"Врач рассказала о влиянии генотипов на течение COVID-19
";врач рассказывать о влияние генотип на течение;0;1;1;0;0;0
;"В Совфеде поддержали введение льгот за вакцинацию от COVID-19
";в совфед поддерживать введение льгота за вакцинация от;1;1;0;0;-1;0
;"Стационарные кислородные концентраторы закупят для белгородских больниц
";стационарный кислородный концентратор закупать для белгородский больница;0;0;-1;-1;0;0
;"Работники самарских госучреждений культуры получат """"ковидные"""" компенсации""
";работник самарский госучреждение культура получать ковидный компенсация;0;0;0;1;-1;0
;"В Башкирии предложили наказывать за использование чужих QR-кодов
";в башкирия предлагать наказывать за использование чужой код;-1;0;0;-1;-1;0
;"Собчак пояснила, кому можно продавать алкоголь и наркотики""
";собчак пояснять кто можно продавать алкоголь и наркотик;-1;0;-1;-1;-1;0
;"Кардиолог рассказал о вакцинации при сердечно-сосудистых заболеваниях
";кардиолог рассказывать о вакцинация при сердечно-сосудистый заболевание;-1;0;-1;0;0;0
;"В России выявили три случая штамма коронавируса мю и один лямбда
";в россия выявлять три случай штамм коронавирус мю и один лямбда;0;0;0;-1;0;0
;"В Москве количество принятых на работу превысило число уволившихся
";в москва количество принимать на работа превышать число увольняться;-1;1;-1;0;-1;0
;"Исследование в Аргентине показало эффективность """"Спутника V"""" среди пожилых""
";исследование в аргентина показывать эффективность спутник среди пожилой;1;1;0;1;-1;0
;"Депутат предложил дать привившимся от COVID-19 скидку на проездные
";депутат предлагать давать прививаться от скидка на проездной;0;0;0;1;-1;0
;"Врач назвал факторы, повышающие риск госпитализации при COVID-19""
";врач называть фактор повышать риск госпитализация при;-1;-1;1;0;0;0
;"В московском транспорте усилили контроль за соблюдением антиковидных мер
";в московский транспорт усиливать контроль за соблюдение антиковидный мера;0;0;0;0;0;0
;"В Хабаровском крае допустили введение QR-кодов в вузах и автобусах
";в хабаровский край допускать введение код в вуз и автобус;0;0;0;-1;0;0
;"В томской медсанчасти нашли нарушения после видео из """"красной зоны""""""
";в томский медсанчасть находить нарушение после видео из красный зона;-1;-1;-1;-1;-1;0
;"В Совфеде анонсировали административные штрафы за нарушение тишины
";в совфед анонсировать административный штраф за нарушение тишина;-1;-1;-1;0;0;0
;"Шаляпин не поделится наследством с прямыми наследниками покойной жены
";шаляпин не поделиться наследство с прямой наследник покойный жена;1;0;0;1;-1;0
;"Жириновский рассказал, как мотивировал депутатов привиться от COVID-19""
";жириновский рассказывать как мотивировать депутат прививаться от;0;0;0;1;0;0
;"В Петербург поступила партия вакцины """"Спутник Лайт""""""
";в петербург поступать партия вакцина спутник лайт;0;1;-1;0;0;0
;"В Приморье студентов-медиков привлекли к работе в пунктах вакцинации
";в приморье студент медик привлекать к работа в пункт вакцинация;0;1;0;0;-1;0
;"На ВДНХ открылся центр вакцинации от COVID-19
";на вднх открываться центр вакцинация от;0;1;0;0;-1;0
;"Поклонская рассказала, от чего будет зависеть ее дипломатическая карьера""
";поклонский рассказывать от что быть зависеть она дипломатический карьера;1;1;0;1;-1;0
;"Поклонская написала диссертацию о российско-украинских отношениях
";поклонский написать диссертация о российский украинский отношение;0;0;-1;1;-1;0
;"В какие страны могут поехать россияне, привитые “Спутником V”""
";в какой страна мочь поехать россиянин прививать спутник;0;0;0;0;0;0
;"В Хабаровском крае ужесточили ограничения из-за COVID-19
";в хабаровский край ужесточить ограничение из-за;-1;-1;-1;-1;-1;0
;"Поклонская рассказала о любви к древним языкам
";поклонский рассказывать о любовь к древний язык;1;0;0;1;-1;0
;"В мэрии Москвы заявили о нехватке рабочих на стройках
";в мэрия москва заявлять о нехватка рабочий на стройка;-1;-1;-1;-1;-1;0
;"Глава Приамурья призвал вакцинироваться
";глава приамурье призывать вакцинироваться;0;0;0;0;0;0
;"Новосибирский минтранс проверит дорожников, укладывавших асфальт в снегопад""
";новосибирский минтранс проверять дорожник укладывать асфальт в снегопад;-1;0;0;0;0;0
;"Поклонская рассказала, у кого стоит поучиться искусству дипломатии""
";поклонский рассказывать у кто стоять поучиться искусство дипломатия;1;1;0;1;-1;0
