,phrase,lexicon,"polatity, total",polatity positive,"polatity positive, %",polatity negative,"polatity negative, %"
0,"Инфекционисты оценили данные о резкой смене первых симптомов COVID
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
1,"Инфекционисты оценили данные о резкой смене первых симптомов COVID
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
2,"Инфекционисты оценили данные о резкой смене первых симптомов COVID
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
3,"Инфекционисты оценили данные о резкой смене первых симптомов COVID
",ProductSentiRus,142,0,0.0,142,100.0
4,"Инфекционисты оценили данные о резкой смене первых симптомов COVID
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
5,"Инфекционисты оценили данные о резкой смене первых симптомов COVID
",SentiRusColl,142,0,0.0,142,100.0
6,"Первый российский губернатор предупредил об угрозе нового локдауна
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
7,"Первый российский губернатор предупредил об угрозе нового локдауна
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
8,"Первый российский губернатор предупредил об угрозе нового локдауна
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
9,"Первый российский губернатор предупредил об угрозе нового локдауна
",ProductSentiRus,142,0,0.0,142,100.0
10,"Первый российский губернатор предупредил об угрозе нового локдауна
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
11,"Первый российский губернатор предупредил об угрозе нового локдауна
",SentiRusColl,142,0,0.0,142,100.0
12,"Если оперативными мерами не удастся сбить заболеваемость COVID-19, в Псковской области может быть вновь введен локдаун. Пока в регионе объявили обязательную самоизоляцию для пожилых людей и перевели школы на удаленный режим""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
13,"Если оперативными мерами не удастся сбить заболеваемость COVID-19, в Псковской области может быть вновь введен локдаун. Пока в регионе объявили обязательную самоизоляцию для пожилых людей и перевели школы на удаленный режим""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
14,"Если оперативными мерами не удастся сбить заболеваемость COVID-19, в Псковской области может быть вновь введен локдаун. Пока в регионе объявили обязательную самоизоляцию для пожилых людей и перевели школы на удаленный режим""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
15,"Если оперативными мерами не удастся сбить заболеваемость COVID-19, в Псковской области может быть вновь введен локдаун. Пока в регионе объявили обязательную самоизоляцию для пожилых людей и перевели школы на удаленный режим""
",ProductSentiRus,142,0,0.0,142,100.0
16,"Если оперативными мерами не удастся сбить заболеваемость COVID-19, в Псковской области может быть вновь введен локдаун. Пока в регионе объявили обязательную самоизоляцию для пожилых людей и перевели школы на удаленный режим""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
17,"Если оперативными мерами не удастся сбить заболеваемость COVID-19, в Псковской области может быть вновь введен локдаун. Пока в регионе объявили обязательную самоизоляцию для пожилых людей и перевели школы на удаленный режим""
",SentiRusColl,142,0,0.0,142,100.0
18,"Власти Самарской области определили места, куда будут пускать по QR-коду""
",ChenSkiena,142,39,27.464788732394368,103,72.53521126760563
19,"Власти Самарской области определили места, куда будут пускать по QR-коду""
",EmoLex,142,28,19.718309859154928,114,80.28169014084507
20,"Власти Самарской области определили места, куда будут пускать по QR-коду""
",LinisCrowd,142,5,3.5211267605633805,137,96.47887323943662
21,"Власти Самарской области определили места, куда будут пускать по QR-коду""
",ProductSentiRus,142,0,0.0,142,100.0
22,"Власти Самарской области определили места, куда будут пускать по QR-коду""
",RuSentiLex,142,8,5.633802816901409,134,94.36619718309859
